iter	RMSE
256	2.912711605
257	2.909195622
258	2.906936354
259	2.906545177
260	2.903118878
261	2.899376606
262	2.899177102
263	2.897932458
264	2.897435806
265	2.897236869
266	2.89424791
267	2.891784502
268	2.889743006
269	2.887437936
270	2.887261521
271	2.886819536
272	2.885269566
273	2.885043426
274	2.884205267
275	2.880959283
276	2.87651348
277	2.872920449
278	2.870482602
279	2.866475061
280	2.863382526
281	2.862403214
282	2.860065184
283	2.858488371
284	2.858082222
285	2.855040411
286	2.854887203
287	2.854520952
288	2.849345122
289	2.846924731
290	2.846599185
291	2.84522058
292	2.843060245
293	2.838341263
294	2.837764491
295	2.83549445
296	2.833417861
297	2.831373071
298	2.830403477
299	2.827825382
300	2.825288295
301	2.82509868
302	2.820349603
303	2.818625907
304	2.817768624
305	2.817419718
306	2.815232138
307	2.810150535
308	2.806620957
309	2.805743369
310	2.803683932
311	2.80018289
312	2.796584369
313	2.794536938
314	2.794210069
315	2.792603318
316	2.788293364
317	2.786541946
318	2.785527433
319	2.783403884
320	2.78211036
321	2.779887932
322	2.779736947
323	2.776510605
324	2.773549422
325	2.770049881
326	2.766508344
327	2.763325271
328	2.759049777
329	2.755328334
330	2.752309002
331	2.751763658
332	2.749837446
333	2.746987228
334	2.746396607
335	2.746139871
336	2.744502714
337	2.744191622
338	2.742903788
339	2.742659559
340	2.74033545
341	2.7395789
342	2.73931213
343	2.736990947
344	2.733804694
345	2.731253187
346	2.727676223
347	2.727069328
348	2.726788168
349	2.724991668
350	2.721492309
351	2.718896095
352	2.715488448
353	2.713474619
354	2.710604002
355	2.710207004
356	2.708024312
357	2.706758766
358	2.706243915
359	2.705531988
360	2.704306508
361	2.701900566
362	2.698284308
363	2.694537039
364	2.690797004
365	2.689602978
366	2.687581184
367	2.686352789
368	2.684578809
369	2.681928927
370	2.677891343
371	2.675787518
372	2.672824928
373	2.67126246
374	2.669522513
375	2.666549642
376	2.663105821
377	2.661328595
378	2.658432821
379	2.654856327
380	2.654230464
381	2.651891298
382	2.649651653
383	2.646485635
384	2.645616
385	2.644358051
386	2.643347289
387	2.639767858
388	2.637440711
389	2.637266452
390	2.634727489
391	2.632548874
392	2.630914566
393	2.630475111
394	2.628216267
395	2.625068226
396	2.623491442
397	2.621656164
398	2.619712496
399	2.618149382
400	2.617361941
401	2.616463946
402	2.613776827
403	2.613232477
404	2.610210551
405	2.60601194
406	2.604200955
407	2.602411699
408	2.600256686
409	2.598210407
410	2.596621874
411	2.594219354
412	2.591238854
413	2.589839651
414	2.586880626
415	2.584968133
416	2.583831312
417	2.581924243
418	2.579607786
419	2.579376014
420	2.577109282
421	2.575659443
422	2.573416512
423	2.570485167
424	2.568172686
425	2.566286658
426	2.561984455
427	2.560397196
428	2.558929342
429	2.557576009
430	2.555214906
431	2.554713629
432	2.554015799
433	2.55351393
434	2.550195841
435	2.548622074
436	2.545499826
437	2.543719503
438	2.54145872
439	2.539611048
440	2.53666231
441	2.535467778
442	2.534743738
443	2.531446152
444	2.530109736
445	2.529598964
446	2.52850851
447	2.525664381
448	2.525490605
449	2.521738959
450	2.519724143
451	2.518408349
452	2.516095986
453	2.514035818
454	2.512175244
455	2.509975321
456	2.508703548
457	2.504891446
458	2.503711403
459	2.502035474
460	2.498448962
461	2.494743301
462	2.493497163
463	2.491824518
464	2.488048474
465	2.486878301
466	2.484746851
467	2.484443762
468	2.483304151
469	2.480540503
470	2.478390962
471	2.478077869
472	2.47484825
473	2.47314826
474	2.470157726
475	2.468361443
476	2.466439241
477	2.464676778
478	2.46357954
479	2.460968237
480	2.459484166
481	2.458926699
482	2.457606009
483	2.455703473
484	2.455076808
485	2.453550972
486	2.452086557
487	2.450548849
488	2.44759335
489	2.4464771
490	2.445146779
491	2.443197681
492	2.441853354
493	2.441311251
494	2.440887441
495	2.439540268
496	2.438121387
497	2.437125698
498	2.434271801
499	2.431853892
500	2.42926427
501	2.429128372
502	2.42779442
503	2.427021861
504	2.42477656
505	2.422913569
506	2.421097282
507	2.419526018
508	2.418291066
509	2.417462469
510	2.415358794
511	2.414027621
512	2.411640006
513	2.409920673
514	2.408892091
515	2.407362219
516	2.405251261
517	2.404572389
518	2.403669896
519	2.401773101
520	2.400759517
521	2.399628522
522	2.398890949
523	2.396558071
524	2.396392129
525	2.395384562
526	2.394813026
527	2.393303253
528	2.393193247
529	2.3911714
530	2.390988685
531	2.389802204
532	2.388213154
533	2.386618813
534	2.383457693
535	2.382052206
536	2.38163254
537	2.379543224
538	2.377995042
539	2.37653976
540	2.373012242
541	2.371674462
542	2.370588915
543	2.369264505
544	2.368154018
545	2.367815973
546	2.364855876
547	2.364619298
548	2.361542542
549	2.359132504
550	2.358535213
551	2.357141084
552	2.357051553
553	2.356198003
554	2.355446835
555	2.355329336
556	2.352852963
557	2.352249788
558	2.350864524
559	2.348358121
560	2.346690205
561	2.343152633
562	2.341761158
563	2.339596814
564	2.338593604
565	2.336543994
566	2.333595005
567	2.332666355
568	2.330978465
569	2.329285459
570	2.327571731
571	2.326055124
572	2.325814527
573	2.323687561
574	2.322658502
575	2.319711476
576	2.319091177
577	2.317279407
578	2.316282127
579	2.315726205
580	2.314502072
581	2.312906436
582	2.312308403
583	2.311152262
584	2.309569912
585	2.308432273
586	2.306368793
587	2.30547765
588	2.30142764
589	2.299655819
590	2.298275732
591	2.297031189
592	2.294732169
593	2.29462253
594	2.294459566
595	2.293235896
596	2.291395327
597	2.290066664
598	2.28852282
599	2.28701217
600	2.285213846
601	2.284369714
602	2.283817924
603	2.280960231
604	2.278775802
605	2.276616419
606	2.274075717
607	2.27321742
608	2.273005533
609	2.269600047
610	2.268053941
611	2.267826259
612	2.265150372
613	2.264056415
614	2.260951372
615	2.259683276
616	2.258348302
617	2.257594175
618	2.256478659
619	2.254268949
620	2.25313844
621	2.250068103
622	2.24906614
623	2.247309713
624	2.246286594
625	2.242988985
626	2.242743283
627	2.239485489
628	2.239240289
629	2.237949017
630	2.237268071
631	2.234850865
632	2.23427506
633	2.233546413
634	2.232445228
635	2.230820011
636	2.228557417
637	2.227187142
638	2.225162264
639	2.224571438
640	2.223814531
641	2.222753118
642	2.222447589
643	2.221134918
644	2.218749442
645	2.218516319
646	2.218014803
647	2.215541043
648	2.214077071
649	2.211898629
650	2.209184052
651	2.20784024
652	2.206723939
653	2.205957128
654	2.204854482
655	2.204395406
656	2.202198792
657	2.200042145
658	2.198015149
659	2.196465812
660	2.196120156
661	2.195021261
662	2.193556075
663	2.192753577
664	2.190831409
665	2.188704642
666	2.187753466
667	2.186187668
668	2.18610124
669	2.186014199
670	2.183549451
671	2.182632098
672	2.1819997
673	2.179784455
674	2.179370012
675	2.177835836
676	2.177106785
677	2.175015085
678	2.174304179
679	2.173786442
680	2.172883931
681	2.171996886
682	2.17082841
683	2.169273558
684	2.167991219
685	2.165609418
686	2.165286412
687	2.164257894
688	2.162166658
689	2.160969249
690	2.158899789
691	2.157186064
692	2.15554908
693	2.153489372
694	2.151797481
695	2.150995451
696	2.148804344
697	2.147384312
698	2.14554067
699	2.144135927
700	2.143952496
701	2.142261371
702	2.141411221
703	2.139672158
704	2.138254522
705	2.137215222
706	2.135357947
707	2.134862644
708	2.13330576
709	2.13230912
710	2.13074531
711	2.129024533
712	2.128793247
713	2.126826038
714	2.126461379
715	2.125942176
716	2.124195178
717	2.124142997
718	2.124068639
719	2.123411965
720	2.122601803
721	2.121837974
722	2.120709863
723	2.120301992
724	2.120229707
725	2.11997129
726	2.118319312
727	2.115904866
728	2.113971795
729	2.112004601
730	2.110180037
731	2.108008925
732	2.107772643
733	2.106575307
734	2.105873178
735	2.104868946
736	2.100397654
737	2.098869817
738	2.097071451
739	2.095194051
740	2.093586693
741	2.090836939
742	2.089117897
743	2.088368028
744	2.087190407
745	2.085764819
746	2.085246732
747	2.083476697
748	2.081486796
749	2.080597357
750	2.078985588
751	2.077533657
752	2.076849029
753	2.075019743
754	2.073178499
755	2.071013312
756	2.070093649
757	2.06858906
758	2.06788668
759	2.066475233
760	2.064906334
761	2.06366388
762	2.062893668
763	2.062010587
764	2.061410359
765	2.061082329
766	2.05903601
767	2.056852037
768	2.056779999
769	2.054659034
770	2.05448252
771	2.053769603
772	2.051623286
773	2.050517622
774	2.049620684
775	2.048626402
776	2.04838083
777	2.046180703
778	2.045140386
779	2.04393964
780	2.042856689
781	2.041662956
782	2.040105163
783	2.039559327
784	2.03952902
785	2.037673946
786	2.036777207
787	2.034997082
788	2.032369934
789	2.031595064
790	2.030618568
791	2.029866911
792	2.027951871
793	2.027893086
794	2.026581938
795	2.024857608
796	2.023918456
797	2.023249922
798	2.022629779
799	2.022323389
800	2.021649341
801	2.020268427
802	2.019399509
803	2.018488417
804	2.018041336
805	2.016791258
806	2.015808543
807	2.013896675
808	2.013445362
809	2.011941091
810	2.011408644
811	2.008933324
812	2.007636146
813	2.007395424
814	2.00595086
815	2.004455188
816	2.003816567
817	2.002013214
818	2.000820075
819	2.000059863
820	1.99838245
821	1.997868401
822	1.99599578
823	1.995557517
824	1.993416232
825	1.991982497
826	1.990445151
827	1.988856042
828	1.987263702
829	1.985574537
830	1.984240966
831	1.983084604
832	1.982736508
833	1.980081009
834	1.979404375
835	1.977960687
836	1.975954353
837	1.97436121
838	1.973635863
839	1.972744403
840	1.971370712
841	1.970527352
842	1.970489156
843	1.969362537
844	1.967335999
845	1.966048809
846	1.965691816
847	1.963039203
848	1.96232859
849	1.960728056
850	1.960335202
851	1.959018403
852	1.958221067
853	1.958184236
854	1.957619504
855	1.956958075
856	1.956392731
857	1.954877246
858	1.953369915
859	1.951751566
860	1.950037066
861	1.949597812
862	1.948361717
863	1.947976499
864	1.947925829
865	1.947431208
866	1.946084628
867	1.945544942
868	1.944275634
869	1.943919455
870	1.942458068
871	1.941968651
872	1.940449261
873	1.939364626
874	1.937472827
875	1.93662083
876	1.935609233
877	1.934638656
878	1.934465602
879	1.934417481
880	1.933563565
881	1.932496567
882	1.932087647
883	1.930590128
884	1.929478413
885	1.9275149
886	1.927353086
887	1.926215912
888	1.925109722
889	1.924386098
890	1.923640223
891	1.922920626
892	1.922047402
893	1.922014927
894	1.920472326
895	1.919513783
896	1.919000396
897	1.917351499
898	1.917257562
899	1.916000987
900	1.914808681
901	1.913589189
902	1.912418487
903	1.912379874
904	1.911548827
905	1.910022373
906	1.909518885
907	1.908641236
908	1.907780563
909	1.9062582
910	1.906224623
911	1.905300109
912	1.904223256
913	1.904159827
914	1.903356829
915	1.902020697
916	1.90191445
917	1.901035338
918	1.899859523
919	1.898142252
920	1.897348372
921	1.896229258
922	1.896100127
923	1.894821127
924	1.894793309
925	1.894606197
926	1.893322865
927	1.891469348
928	1.890684196
929	1.889358603
930	1.888664391
931	1.888570749
932	1.888083946
933	1.887448172
934	1.885786553
935	1.884968823
936	1.883472045
937	1.882831153
938	1.882200743
939	1.880678311
940	1.880599144
941	1.87953477
942	1.879216723
943	1.878549728
944	1.87801838
945	1.876885123
946	1.876455285
947	1.876220442
948	1.87540517
949	1.874491937
950	1.87350794
951	1.872310976
952	1.870941258
953	1.870711068
954	1.870253468
955	1.869710597
956	1.868737305
957	1.866403051
958	1.865274232
959	1.865003636
960	1.863285316
961	1.861901068
962	1.861356915
963	1.860601605
964	1.860405356
965	1.860303034
966	1.859437631
967	1.857730549
968	1.856347908
969	1.856119743
970	1.85560278
971	1.853962655
972	1.852986223
973	1.852256484
974	1.851575507
975	1.850121846
976	1.849404836
977	1.847800622
978	1.846359482
979	1.844822425
980	1.843201629
981	1.842748956
982	1.842024934
983	1.841367701
984	1.84000806
985	1.839480915
986	1.838240229
987	1.837609728
988	1.836487657
989	1.836179048
990	1.835785099
991	1.834133107
992	1.832991039
993	1.832688
994	1.831439157
995	1.830152488
996	1.828964022
997	1.827205768
998	1.826329107
999	1.826230529
